"Response","id","cluster","AcceptedCmp5","UserSpecificClusterAttributes","PurchasesSpecificClusteringData","ChannelSpecificClusteringData","CampaignSpecificClusteringData"
"true",38,"cluster_8","true","{Age: adult, Ed: PhD, Marital: Single, Inc.: top, Kids: 0, Teens: 0, Enrollm.: Q2, Country: SP, Complain: false}","{Wine: top, Fruit: bottom, Meat: middle, Fish: low, Sweets: low, Gold: bottom, Recency: 1, NumDeals: 1}","{Web: 2, Catalog: 4, Store: 9, WebVisits: 4}","{Cmp1: true, Cmp2: true, Cmp3: false, Cmp4: true, Cmp5: true, Response: true}"
"false",39,"cluster_8","false","{Age: adult, Ed: Graduation, Marital: Married, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q2, Country: SP, Complain: false}","{Wine: low, Fruit: bottom, Meat: low, Fish: middle, Sweets: high, Gold: high, Recency: 1, NumDeals: 2}","{Web: 5, Catalog: 5, Store: 12, WebVisits: 3}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",40,"cluster_1","false","{Age: adult, Ed: Graduation, Marital: Single, Inc.: bottom, Kids: 1, Teens: 0, Enrollm.: Q2, Country: CA, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 2}","{Web: 2, Catalog: 0, Store: 3, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",41,"cluster_8","false","{Age: adv_age, Ed: PhD, Marital: Married, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: high, Fruit: bottom, Meat: low, Fish: low, Sweets: low, Gold: bottom, Recency: 1, NumDeals: 3}","{Web: 11, Catalog: 9, Store: 12, WebVisits: 6}","{Cmp1: true, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",42,"cluster_8","false","{Age: mature, Ed: 2n Cycle, Marital: Single, Inc.: top, Kids: 0, Teens: 0, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: middle, Fruit: low, Meat: low, Fish: low, Sweets: high, Gold: low, Recency: 1, NumDeals: 1}","{Web: 8, Catalog: 2, Store: 5, WebVisits: 5}","{Cmp1: true, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",43,"cluster_1","false","{Age: mature, Ed: Graduation, Marital: Single, Inc.: low, Kids: 1, Teens: 0, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 3}","{Web: 4, Catalog: 0, Store: 4, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",44,"cluster_1","false","{Age: adult, Ed: 2n Cycle, Marital: Divorced, Inc.: low, Kids: 1, Teens: 1, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: low, Recency: 1, NumDeals: 2}","{Web: 1, Catalog: 2, Store: 2, WebVisits: 6}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"true",45,"cluster_8","false","{Age: adult, Ed: Graduation, Marital: Together, Inc.: middle, Kids: 0, Teens: 0, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: middle, Fruit: top, Meat: high, Fish: bottom, Sweets: bottom, Gold: low, Recency: 1, NumDeals: 1}","{Web: 4, Catalog: 5, Store: 4, WebVisits: 3}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",46,"cluster_1","false","{Age: adult, Ed: Graduation, Marital: Married, Inc.: low, Kids: 1, Teens: 0, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 1}","{Web: 1, Catalog: 0, Store: 3, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",47,"cluster_8","false","{Age: adult, Ed: Master, Marital: Married, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q4, Country: AUS, Complain: false}","{Wine: middle, Fruit: bottom, Meat: low, Fish: bottom, Sweets: low, Gold: bottom, Recency: 1, NumDeals: 2}","{Web: 5, Catalog: 4, Store: 5, WebVisits: 4}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",48,"cluster_8","false","{Age: adult, Ed: Graduation, Marital: Divorced, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q4, Country: GER, Complain: false}","{Wine: bottom, Fruit: low, Meat: low, Fish: bottom, Sweets: bottom, Gold: high, Recency: 1, NumDeals: 2}","{Web: 7, Catalog: 2, Store: 8, WebVisits: 5}","{Cmp1: false, Cmp2: false, Cmp3: true, Cmp4: false, Cmp5: false, Response: true}"
"false",49,"cluster_1","false","{Age: adult, Ed: Graduation, Marital: Single, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q4, Country: US, Complain: false}","{Wine: low, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: low, Recency: 1, NumDeals: 4}","{Web: 7, Catalog: 2, Store: 4, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",50,"cluster_1","false","{Age: mature, Ed: 2n Cycle, Marital: Married, Inc.: bottom, Kids: 1, Teens: 0, Enrollm.: Q3, Country: GER, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 1, NumDeals: 2}","{Web: 1, Catalog: 0, Store: 3, WebVisits: 9}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",51,"cluster_8","false","{Age: adv_age, Ed: Master, Marital: Married, Inc.: middle, Kids: 0, Teens: 0, Enrollm.: Q3, Country: GER, Complain: false}","{Wine: middle, Fruit: low, Meat: middle, Fish: high, Sweets: middle, Gold: bottom, Recency: 1, NumDeals: 3}","{Web: 4, Catalog: 8, Store: 6, WebVisits: 3}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",52,"cluster_1","false","{Age: adult, Ed: 2n Cycle, Marital: Single, Inc.: middle, Kids: 2, Teens: 1, Enrollm.: Q2, Country: SA, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 2, NumDeals: 1}","{Web: 1, Catalog: 0, Store: 2, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",53,"cluster_8","false","{Age: adv_age, Ed: Graduation, Marital: Married, Inc.: top, Kids: 0, Teens: 0, Enrollm.: Q2, Country: SP, Complain: false}","{Wine: low, Fruit: middle, Meat: top, Fish: top, Sweets: low, Gold: bottom, Recency: 2, NumDeals: 1}","{Web: 4, Catalog: 6, Store: 6, WebVisits: 1}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",54,"cluster_1","false","{Age: adult, Ed: Basic, Marital: Married, Inc.: bottom, Kids: 1, Teens: 0, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 2, NumDeals: 2}","{Web: 3, Catalog: 0, Store: 3, WebVisits: 8}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",55,"cluster_1","false","{Age: adv_age, Ed: Graduation, Marital: Single, Inc.: low, Kids: 1, Teens: 1, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 2, NumDeals: 2}","{Web: 2, Catalog: 1, Store: 2, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",56,"cluster_1","false","{Age: adult, Ed: Master, Marital: Married, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q1, Country: IND, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 2, NumDeals: 1}","{Web: 1, Catalog: 0, Store: 3, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",57,"cluster_1","false","{Age: adult, Ed: PhD, Marital: Together, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q1, Country: SA, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 2, NumDeals: 2}","{Web: 4, Catalog: 2, Store: 4, WebVisits: 5}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",58,"cluster_8","false","{Age: adult, Ed: Graduation, Marital: Married, Inc.: top, Kids: 0, Teens: 0, Enrollm.: Q1, Country: SA, Complain: false}","{Wine: low, Fruit: bottom, Meat: middle, Fish: high, Sweets: low, Gold: bottom, Recency: 2, NumDeals: 1}","{Web: 2, Catalog: 8, Store: 13, WebVisits: 0}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"true",59,"cluster_1","false","{Age: adult, Ed: Graduation, Marital: Married, Inc.: middle, Kids: 0, Teens: 1, Enrollm.: Q1, Country: SP, Complain: false}","{Wine: middle, Fruit: bottom, Meat: low, Fish: low, Sweets: low, Gold: middle, Recency: 2, NumDeals: 4}","{Web: 2, Catalog: 2, Store: 8, WebVisits: 7}","{Cmp1: true, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: true}"
"false",60,"cluster_1","false","{Age: adult, Ed: Master, Marital: Together, Inc.: low, Kids: 0, Teens: 1, Enrollm.: Q4, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 2, NumDeals: 1}","{Web: 1, Catalog: 0, Store: 3, WebVisits: 5}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
"false",61,"cluster_1","false","{Age: adult, Ed: PhD, Marital: Single, Inc.: low, Kids: 1, Teens: 1, Enrollm.: Q3, Country: SP, Complain: false}","{Wine: bottom, Fruit: bottom, Meat: bottom, Fish: bottom, Sweets: bottom, Gold: bottom, Recency: 2, NumDeals: 4}","{Web: 3, Catalog: 0, Store: 4, WebVisits: 7}","{Cmp1: false, Cmp2: false, Cmp3: false, Cmp4: false, Cmp5: false, Response: false}"
